word,count
basically,223
lower,223
spring,223
tear,223
add,222
enjoy,222
impeachment,222
oil,222
investigation,221
difference,221
saved,221
revealed,221
assistance,221
clean,221
glad,220
holy,220
admit,220
murder,220
scientific,219
surgical,218
illegal,218
nature,218
restaurant,218
angry,217
weird,217
stocks,217
tech,216
remind,216
democracy,216
seeking,215
council,215
contagious,214
unprecedented,214
amidst,214
final,213
digital,213
film,212
contracted,212
block,212
aware,211
ani,211
voter,211
ventilator,211
protection,210
misinformation,210
develop,210
involved,210
attend,210
walk,210
green,210
globally,209
bus,209
planet,209
equipment,209
hello,209
round,209
damage,208
cash,208
receive,208
infect,208
apart,207
employee,207
cold,207
everyday,207
deputy,207
natural,206
gun,206
meat,206
excellent,206
solution,206
headline,205
vice,205
funder,205
bought,204
sold,204
cross,204
certain,204
stage,204
hero,204
afford,204
ongoing,203
supporting,203
review,203
protecting,203
figure,202
technology,202
dow,202
beautiful,202
pop,201
shocking,201
extend,201
space,200
defense,200
las,200
tough,200
scale,199
mandatory,199
proper,199
asymptomatic,199
write,199
don,199
listening,199
concert,199
cough,198
shopping,198
wore,198
insane,197
reduced,197
attempt,197
conversation,197
supreme,196
older,196
host,196
secret,196
hotel,196
golf,196
limit,195
debt,195
depression,195
possibly,194
primary,194
speech,194
energy,194
map,193
carry,193
earthquake,193
added,193
speed,192
guardian,192
management,192
wit,192
delivery,192
bar,191
suggest,191
basic,191
celebrate,191
saving,191
relationship,190
condition,190
southern,190
star,190
defeat,190
german,190
labour,190
unfortunately,190
uncle,190
returned,189
crime,189
vital,189
decide,189
peace,189
hair,189
solidarity,189
reporter,189
mistake,189
parenthood,189
land,188
credit,188
page,188
thousand,188
reportedly,188
foundation,188
toilet,188
broken,187
ability,186
episode,186
minute,186
offering,186
chairman,186
appreciate,185
sports,185
tory,185
devastating,184
considering,184
announcement,184
spill,184
wide,184
gotten,184
mild,183
region,183
danger,183
shanghai,183
similar,183
written,183
sadly,183
honestly,183
spend,183
narrative,182
version,182
deliver,182
position,182
duty,182
sell,181
heartbreaking,181
inform,181
deserve,181
regular,181
reaction,181
club,181
socialism,181
beer,180
isolated,180
greatly,180
trip,180
form,180
apple,180
maintain,180
urge,179
road,179
shortage,179
fed,179
choose,179
development,179
unable,179
ended,179
sector,178
gathering,178
rapidly,177
flying,177
chain,177
comment,177
honest,177
network,177
easily,177
feed,177
incompetence,177
ease,177
chi,176
premier,176
cool,176
mobile,176
plasma,176
turkey,176
causing,176
strongly,176
effects,176
demanding,176
arrest,176
screening,175
sister,175
entering,175
informed,175
allegedly,175
delay,175
armed,174
crowd,174
dogs,174
grant,174
success,174
art,174
significant,174
waste,174
league,174
grow,173
posting,173
lift,172
stopping,172
domestic,172
mar,172
classes,172
idiot,172
transport,171
lord,171
pride,171
wondering,170
enter,170
rip,170
alcohol,170
enforce,170
anxiety,169
provided,169
housing,169
theory,169
pregnant,168
absolute,168
extension,168
rapid,167
threatening,167
greater,167
turning,167
strand,167
falling,167
mouth,167
holiday,167
island,167
conservative,167
authoritarian,167
blocking,166
tackle,166
watched,166
beating,166
herd,166
bats,165
youth,165
combined,165
plus,165
training,165
meant,165
crew,165
heat,165
bag,165
fresh,165
fellow,165
accused,165
exist,164
failing,164
poverty,164
western,164
perfectly,164
spot,164
walking,163
careful,163
wonderful,163
para,163
corrupt,162
forgot,162
curfew,162
produce,161
agency,161
fly,161
launch,161
incompetent,161
manage,160
willing,160
religious,160
proof,160
bat,159
continued,159
preparedness,159
republic,159
sacrifice,159
presidential,159
brilliant,159
fought,159
drinking,158
jump,158
pressure,158
anniversary,158
fatality,158
upset,158
ending,158
crore,158
racial,157
temporarily,156
covered,156
anybody,156
behavior,156
stress,156
scandal,156
unemployed,156
apply,155
knowing,155
construction,155
trace,155
quality,155
successfully,155
blocked,154
pick,154
containment,154
process,154
dumb,154
suddenly,153
king,153
writing,153
recommend,152
quit,152
tally,152
statistics,152
targeted,152
shift,152
evening,152
album,152
funeral,152
bet,151
temporary,150
shutting,150
suicide,150
rose,150
radio,150
wing,150
sun,150
fault,150
designed,150
chose,150
immediate,149
petition,149
survival,149
weather,149
authority,149
steal,149
driver,149
status,149
math,149
station,148
volcanic,148
tho,148
northern,148
brain,148
gear,148
mention,148
kit,148
deeply,148
badly,148
silence,148
progress,148
dollar,148
wealth,148
antibody,148
memorial,148
zone,147
fair,147
require,147
surprise,146
considered,146
seven,146
charity,146
blamed,146
previous,146
rand,146
positivity,146
newly,145
trouble,145
agreed,145
farm,145
camp,145
deliberately,145
confused,145
guard,145
bonus,145
importance,144
approval,144
alarm,144
capitalism,144
recession,144
perspective,143
hide,143
cabinet,143
chair,143
disappear,143
measure,142
bigger,142
encouraging,142
eve,142
ward,142
brutality,142
whilst,142
traveled,141
goal,141
safely,141
window,141
repeatedly,141
teacher,141
field,141
overnight,140
abuse,140
value,140
channel,140
appear,139
chat,139
wildlife,139
khan,139
benefit,139
august,139
stood,139
zoom,139
checked,138
suspend,138
scare,138
origin,138
flag,138
lucky,138
immigration,138
genuinely,138
impacted,138
swine,138
significantly,138
secure,138
fro,137
chin,137
lethal,137
doubt,137
incubation,137
calm,137
handled,137
strict,137
counter,136
incredibly,136
rush,136
hurt,136
individual,136
gift,136
affect,136
base,136
resign,136
unknown,135
capital,135
violent,135
successful,135
biological,135
postpone,135
orange,135
roll,135
firm,135
promise,135
born,135
giant,135
winning,135
wage,135
playbook,135
weekly,134
entry,134
female,134
cousin,134
potentially,134
kim,134
usual,134
malaria,134
card,134
initiative,134
property,134
enforcement,134
loan,134
stupidity,133
faster,133
obvious,133
resident,133
normally,133
exercise,133
warren,133
priority,133
ticket,133
funded,133
tip,133
barely,133
surprising,133
fit,132
killer,132
deny,132
bout,132
ran,132
selfish,132
scam,132
laid,132
sanders,132
drink,131
salary,131
remove,131
dropping,131
intentionally,131
present,131
serve,131
sage,131
clip,130
desperate,130
prof,130
eye,130
culture,130
throwing,130
boss,130
socially,130
limited,129
ignorant,129
grateful,129
somebody,129
pan,129
excited,129
fourth,129
platform,129
silent,129
agenda,129
content,129
useful,129
disabled,129
closely,128
labor,128
chaos,128
sound,128
panel,128
indoors,128
tragic,128
rick,128
session,128
silver,128
pack,128
speaker,128
factory,127
friendly,127
donation,127
century,127
surgeon,127
plant,127
reflect,127
manager,127
fantastic,127
victim,126
sudden,126
catching,126
bunch,126
abroad,126
outrageous,126
hygiene,126
owner,126
actively,126
symptom,126
unbelievable,126
urging,126
guide,126
shooting,125
disturbing,125
irresponsible,125
singing,125
intensive,125
hunger,125
laughing,125
floor,125
sue,125
favorite,125
lung,124
advance,124
adviser,124
weak,124
exposure,124
ambassador,124
touching,124
dick,124
lifting,124
schedule,123
modern,123
properly,123
personnel,123
hysteria,123
winter,123
ridiculous,123
lovely,123
footage,122
addition,122
concerning,122
cheese,122
advised,122
purpose,122
shelter,122
forever,122
shake,122
easter,122
strain,121
setting,121
driving,121
collapse,121
crying,121
pool,121
scheme,121
actor,121
spray,121
driven,121
breathe,121
praying,120
aside,120
doc,120
proven,120
lived,120
crap,120
retail,120
connected,120
traffic,120
unit,120
era,120
discussion,120
profit,120
sky,120
chuck,120
legislation,120
arrival,119
dis,119
crowded,119
popular,119
trend,119
boost,119
conduct,119
kindly,119
teaching,119
hall,119
influenza,118
stayed,118
advisory,118
festival,118
warfare,118
cheap,118
corporate,118
explanation,118
sea,118
argument,118
distract,118
sleep,117
shall,117
style,117
journal,117
obviously,117
click,117
passing,117
effectively,117
encourage,117
size,117
career,116
visiting,116
gain,116
worrying,116
publicly,116
throw,116
mess,116
brave,116
faith,116
grandmother,116
